产权,关注,区域,单价,小区,年限,总价/万元,户型,房屋编码,挂牌时间,朝向,楼层,装修情况,面积
70年,14,拱墅桥西,50776元/平米,天阳上河,2010年建/板楼,445万元,3室2厅,103102639270,2018-07-21,南,低楼层/共11层,平层/简装,87.64平米
70年,1,西湖申花,86647元/平米,耀江文鼎苑,2007年建/板楼,510,1室1厅,103104199548,2019-03-22,南,中楼层/共24层,平层/简装,58.86平米
70年,9,滨江奥体,58030元/平米,龙湖春江彼岸,未知/板楼,490,3室2厅,103104208308,2019-03-23,南,高楼层/共33层,平层/精装,84.44平米
70年,16,富阳富阳,18298元/平米,野风春晓,未知年建/板楼,86,1室1厅,103104761035,2019-05-18,南,高楼层/共24层,毛坯,47平米
70年,0,西湖文一西路,56413元/平米,政新花园,2000年建/板楼,483,3室2厅,103104674093,2019-05-09,南,低楼层/共6层,简装,85.62平米
70年,7,余杭闲林,25308元/平米,赞成乐山红叶,2014年建/塔楼,220,3室2厅,103103260613,2018-11-01,南,中楼层/共20层,平层/精装,86.93平米
70年,62,余杭临平,24917元/平米,世纪嘉园晴彩巴厘,2006年建/板楼,90,1室1厅,103102717624,2018-08-10,南,高楼层/共18层,简装,36.12平米
70年,4,余杭万达广场,34832元/平米,万科北宸之光,2016年建/板楼,310,3室1厅,103104540935,2019-04-25,南,高楼层/共28层,平层/精装,89平米
40年,1,下城三塘,33292元/平米,杭州新天地,未知年建/板楼,185,2室1厅,103104922736,2019-06-03,南,低楼层/共12层,平层/精装,55.57平米
70年,0,临安临安,16535元/平米,青山鹤岭,未知年建/板楼,50,1室0厅,103103519099,2018-12-05,东,低楼层/共18层,精装,30.24平米
40年,0,江干丁桥,24470元/平米,置鼎明珠1号,2016年建/板楼,210,4室1厅,103104138591,2019-03-16,东南,高楼层/共8层,精装,85.82㎡
70年,0,滨江彩虹城,37398元/平米,之江公寓,2003年建/板楼,600,3室2厅,103104035149,2019-03-04,南,高楼层/共20层,精装,160.44平米
70年,11,萧山南部卧城,29616元/平米,半岛花园,2009年建/板楼,265,2室2厅,103103821740,2019-01-24,南,中楼层/共18层,平层/精装,89.48平米
70年,8,滨江奥体,61079元/平米,龙湖春江彼岸,2015年建/板楼,980,4室2厅,103103934387,2019-02-22,东南,低楼层/共33层,平层/精装,160.45平米
70年,5,下城石桥,30383元/平米,景翠公寓,2009年建/板楼,265,2室1厅,103103205890,2018-10-24,南,中楼层/共11层,平层/简装,87.22平米
70年,31,萧山萧山市区,19151元/平米,家景园,2000年建/板楼,470,4室2厅,103102417471,2018-05-16,南 北,高楼层/共15层,精装,245.42平米
40年,0,余杭未来科技城,59874元/平米,理想西溪金座,未知年建/板楼,1120,4室1厅,103104117216,2019-03-13,南,低楼层/共9层,简装,187.06平米
40年,0,余杭临平,18640元/平米,华元欢乐城,2016年建/板塔结合,60,1室1厅,103103573321,2018-12-14,南,低楼层/共19层,精装,32.19平米
70年,36,萧山湘湖,30266元/平米,湘湖家园,2004年建/板楼,365,3室2厅,103102103634,2018-01-27,南,中楼层/共6层,平层/精装,120.6平米
70年,1,下城朝晖,39703元/平米,朝晖六区,1996年建/板楼,160,1室1厅,103105090125,2019-06-20,南,中楼层/共6层,平层/简装,40.3平米
70年,4,余杭乔司,23169元/平米,复地连城国际,2011年建/板楼,310,4室2厅,103104601840,2019-05-01,南 西 北,高楼层/共16层,精装,133.8平米
70年,20,钱塘新区金沙湖,46991元/平米,名城湖左岸,2012年建/板塔结合,420,3室2厅,103102783116,2018-08-25,南,高楼层/共23层,跃层/精装,89.38平米
70年,34,拱墅桥西,68000元/平米,远洋大河宸章,2014年建/板塔结合,1320,4室2厅,103103254812,2018-10-31,南 西 北,高楼层/共18层,平层/精装,194.12平米
70年,2,上城近江,57899元/平米,钱江时代公寓,2007年建/板楼,810,3室2厅,103103348402,2018-11-09,南,高楼层/共24层,毛坯,139.9平米
70年,0,西湖转塘,27816元/平米,赞成岭上花苑,2009年建/板楼,405,4室2厅,103105089685,2019-06-20,南 北 西,低楼层/共16层,平层/精装,145.6平米
50年,14,上城南星,28783元/平米,凤凰城广场,2008年建/板楼,300,2室2厅,103102487410,2018-06-07,南,高楼层/共28层,平层/毛坯,104.23平米
70年,67,西湖西溪,47010元/平米,坤和和家园,2011年建/板楼,415,2室1厅,103102078419,2018-01-16,南,低楼层/共15层,平层/精装,88.28平米
70年,13,江干丁桥,32105元/平米,冠宇隽园,2010年建/板楼,350,3室2厅,103102452872,2018-05-27,南,低楼层/共16层,平层/简装,109.02平米
70年,3,滨江彩虹城,41704元/平米,盛元慧谷,2008年建/板楼,375,1室2厅,103105019239,2019-06-13,东,中楼层/共26层,平层/精装,89.92平米
70年,9,余杭良渚,30701元/平米,三墩景溪北苑,未知年建/暂无数据,185,2室1厅,103104548312,2019-04-26,南,高楼层/共33层,平层/简装,60.26平米
40年,1,余杭临平,17392元/平米,华元欢乐城,2016年建/板楼,80,2室1厅,103104681085,2019-05-10,南 北,高楼层/共38层,跃层/精装,46平米
70年,30,江干九堡,43871元/平米,宋都阳光国际,2013年建/板塔结合,680,3室2厅,103102421621,2018-05-17,东 南 北,高楼层/共11层,平层/精装,155平米
70年,3,西湖文教,67162元/平米,教工路131号,1990年建/板楼,480,3室1厅,103103991693,2019-02-28,南,高楼层/共5层,平层/简装,71.47平米
40年,84,滨江彩虹城,32908元/平米,高润云杉郡,2016年建/板楼,139,2室2厅,103103828113,2019-01-26,北,中楼层/共20层,跃层/精装,42.24平米
70年,54,江干丁桥,27641元/平米,广宇上东臻品,2013年建/板楼,246,3室2厅,103102216843,2018-03-16,南 北,低楼层/共16层,平层/简装,89平米
70年,16,余杭闲林,22717元/平米,爵士风情花园,2008年建/板楼,275,3室2厅,103102408124,2018-05-13,南 北,高楼层/共6层,跃层/精装,121.06平米
40年,0,江干城东新城,28058元/平米,东亚新干线,2014年建/板楼,120,1室1厅,103104996891,2019-06-11,东,低楼层/共11层,精装,42.77平米
70年,1,江干华家池,58661元/平米,世茂天宸,2017年建/板楼,1100,4室2厅,103104500630,2019-04-21,南,中楼层/共25层,平层/毛坯,187.52平米
40年,24,江干钱江新城,26419元/平米,钱塘航空大厦,2012年建/塔楼,135,1室1厅,103102647273,2018-07-24,西南,高楼层/共37层,平层/精装,51.1平米
70年,0,余杭良渚,27398元/平米,石榴派,2012年建/塔楼,400,4室2厅,103104507267,2019-04-22,南,低楼层/共10层,平层/简装,146平米
70年,32,余杭翡翠城,32435元/平米,翡翠城一期,2008年建/板楼,550,4室2厅,103102892102,2018-09-10,南 北,中楼层/共5层,平层/毛坯,169.57平米
70年,18,,45748元/平米,三华园,1998年建/板楼,298,2室1厅,103102293196,2018-04-08,西 北,高楼层/共28层,简装,65.14平米
70年,15,西湖翠苑,37650元/平米,翠苑三区,1989年建/板楼,246,3室1厅,103104046484,2019-03-06,东 南 北,高楼层/共6层,平层/简装,65.34平米
70年,0,萧山义桥,24334元/平米,绿都御景蓝湾,2016年建/板楼,270,3室2厅,103104824213,2019-05-24,南,低楼层/共26层,平层/简装,110.96平米
70年,3,余杭塘栖,17554元/平米,九龙仓君廷,2016年建/板楼,400,5室2厅,103104832306,2019-05-25,东南,上叠别墅/共4层,毛坯,227.88平米
70年,21,下城三塘,54188元/平米,水印康庭,2006年建/板楼,385,3室1厅,103102483912,2018-06-06,南,低楼层/共12层,跃层/毛坯,71.05平米
70年,0,余杭未来科技城,26368元/平米,杭州未来广场银天金城,未知年建/暂无数据,135,1室1厅,103104892907,2019-05-31,南,低楼层/共11层,平层/精装,51.2平米
70年,1,余杭星桥,18953元/平米,五月花城,2014年建/板楼,270,3室2厅,103104794382,2019-05-21,南,中楼层/共24层,平层/精装,142.46平米
70年,0,萧山萧山新城区,56459元/平米,高运莱茵传奇,2016年建/板楼,500,4室2厅,103104621670,2019-05-04,南,低楼层/共20层,平层/精装,88.56平米
70年,0,钱塘新区金沙湖,33945元/平米,德嘉金沙阳光,2011年建/板楼,300,2室2厅,103104986886,2019-06-10,南,高楼层/共26层,其他,88.38平米
70年,2,西湖文教,58415元/平米,今日嘉园,2008年建/板楼,790,3室2厅,103102412964,2018-05-14,南,低楼层/共10层,精装,135.24平米
70年,10,萧山萧山市区,28421元/平米,育才东苑,1995年建/板楼,220,2室2厅,103102677412,2018-08-01,南,高楼层/共6层,简装,77.41平米
70年,2,西湖文三西路,42275元/平米,美都新村,1998年建/板楼,345,2室2厅,103104644946,2019-05-06,南,中楼层/共7层,平层/精装,81.61平米
70年,44,萧山萧山新城区,36558元/平米,高运莱茵传奇,2016年建/板楼,339.8,3室2厅,103102648310,2018-07-24,南,高楼层/共18层,平层/毛坯,92.95平米
70年,3,钱塘新区高教园区西,31920元/平米,四季风景苑,2009年建/板楼,280,2室1厅,103104558246,2019-04-27,南,中楼层/共29层,平层/精装,87.72平米
70年,2,余杭良渚,46154元/平米,良渚文化村白鹭郡南,2010年建/板楼,360,4室2厅,103104840225,2019-05-26,东南 西北,高楼层/共4层,跃层/简装,78平米
70年,45,拱墅三墩,27190元/平米,都市水乡水映苑,2004年建/板楼,280,3室2厅,103104124529,2019-03-14,南,低楼层/共18层,简装,102.98平米
70年,2,余杭临平,20188元/平米,中梁百悦城,2016年建/板塔结合,256,3室2厅,103104614845,2019-05-03,南,高楼层/共23层,平层/毛坯,126.81平米
70年,5,萧山萧山开发区,22313 元/平米,明华明辉花园,2002年建/板楼,328,4室2厅,103104003410,2019-03-01,南,高楼层/共7层,平层/精装,147平米
40年,253,萧山钱江世纪城,22223元/平米,江南明城金座,未知年建/塔楼,110,1室1厅,103102913964,2018-09-14,南,低楼层/共29层,平层/精装,49.5平米
70年,15,拱墅湖墅,30027元/平米,稻香园南区,2000年建/板楼,270,2室1厅,103104799442,2019-05-22,南,高楼层/共18层,平层/毛坯,89.92平米
70年,0,下城长庆,45123元/平米,水陆寺巷,1994年建/板楼,235,2室1厅,103104898019,2019-06-01,南,高楼层/共7层,平层/其他,52.08平米
40年,5,钱塘新区金沙湖,22698元/平米,泰美国际大厦,2016年建/塔楼,205,2室1厅,103103779686,2019-01-16,东南 南 西南,低楼层/共22层,精装,90.32平米
70年,17,西湖黄龙,60897元/平米,求是村,1988年建/板楼,420,2室1厅,103103323882,2018-11-08,南 北,低楼层/共5层,平层/简装,68.97平米
40年,0,萧山奥体,30304元/平米,众安嘉润公馆,2014年建/板楼,190,1室1厅,103104289611,2019-03-31,西北,高楼层/共30层,精装,62.7平米
70年,0,江干笕桥,36476元/平米,万科草庄,2012年建/板楼,320,1室1厅,103104410074,2019-04-13,南,中楼层/共16层,平层/精装,87.73平米
70年,43,萧山湘湖,34641元/平米,华瑞湘湖美地,2013年建/板塔结合,280,2室1厅,103104636712,2019-05-05,南,低楼层/共17层,平层/精装,80.83平米
70年,2,余杭临平,21911元/平米,赞成檀府,2016年建/板塔结合,195,3室1厅,103104930709,2019-06-04,南,高楼层/共28层,平层/毛坯,89平米
50年,34,萧山萧山市区,29739元/平米,开元名都,2003年建/板楼,500,3室2厅,103101558443,2017-07-30,南,低楼层/共27层,精装,168.13平米
70年,27,江干九堡,51725元/平米,地铁绿城杨柳郡,2017年建/板楼,750,4室1厅,103103873008,2019-02-14,南 北,高楼层/共7层,平层/其他,145平米
70年,3,余杭万达广场,35012元/平米,风雅乐府,2011年建/板楼,470,4室2厅,103102742305,2018-08-16,南,低楼层/共31层,平层/毛坯,134.24平米
70年,0,临安临安,14267元/平米,锦绣钱塘,2013年建/板楼,700,5室3厅,103105087923,2019-06-20,南,独栋/共2层,毛坯,490.67平米
50年,12,萧山钱江世纪城,24127元/平米,百富联合国际奥体之星,未知年建/塔楼,152,2室1厅,103104774157,2019-05-19,南,高楼层/共18层,精装,63平米
70年,14,拱墅湖墅,43584元/平米,武林公寓,1997年建/板楼,180,1室1厅,103104464727,2019-04-17,南,高楼层/共7层,平层/简装,41.3平米
70年,34,萧山萧山新城区,44944元/平米,中国铁建江南国际城,2017年建/板楼,400,3室2厅,103102267976,2018-03-31,南,高楼层/共34层,平层/毛坯,89平米
70年,46,滨江长河,50765元/平米,白金海岸,2006年建/板楼,475,2室2厅,103102585782,2018-07-07,南,高楼层/共18层,平层/简装,93.57平米
70年,0,临安临安,19492元/平米,春天华府(临天路),未知年建/板塔结合,230,3室2厅,103103765878,2019-01-14,东,高楼层/共33层,毛坯,118平米
70年,14,余杭良渚,31411元/平米,九衡公寓,2013年建/板楼,245,3室2厅,103104292729,2019-03-31,南,高楼层/共11层,平层/精装,78平米
40年,4,西湖转塘,20556元/平米,钱江之江新天地,2016年建/板楼,88,1室1厅,103104410292,2019-04-13,南 北,中楼层/共6层,精装,42.81平米
70年,1,临安临安,17373元/平米,越秀星汇城,未知年建/板楼,205,4室2厅,103104869101,2019-05-29,南,中楼层/共33层,平层/毛坯,118平米
70年,0,临安临安,16514元/平米,公园城,未知年建/塔楼,206,3室2厅,103104907819,2019-06-02,南 北,低楼层/共17层,平层/精装,124.75平米
70年,1,余杭星桥,22877元/平米,广厦天都城天风苑,2003年建/板楼,268,3室2厅,103104570450,2019-04-28,南,中楼层/共5层,平层/精装,117.15平米
70年,8,西湖文一西路,40479元/平米,南都花园二区,1996年建/板楼,345,3室2厅,103104919106,2019-06-03,南 北,高楼层/共7层,平层/简装,85.23平米
70年,1,西湖西溪,48276元/平米,中海西溪华府,2013年建/板楼,420,3室2厅,103105104618,2019-06-21,南 北,中楼层/共10层,平层/其他,87平米
40年,0,钱塘新区金沙湖,22732元/平米,金沙国际,2016年建/塔楼,230,3室2厅,103105000390,2019-06-11,南,中楼层/共16层,精装,101.18平米
70年,18,萧山萧山新城区,27421元/平米,中誉现代城,2007年建/板楼,320,3室2厅,103103519959,2018-12-05,南,低楼层/共6层,平层/精装,116.7平米
70年,7,江干丁桥,26124元/平米,金地格林格林,2015年建/板楼,225,3室2厅,103104413256,2019-04-13,南,低楼层/共16层,平层/毛坯,86.13平米
70年,0,钱塘新区高教园区东,38203元/平米,华元云水苑,2004年建/板楼,380,2室2厅,103104637211,2019-05-05,南 北,低楼层/共6层,平层/精装,99.47平米
70年,4,江干钱江新城,79366元/平米,盛世钱塘,2007年建/板楼,1500,4室2厅,103104533764,2019-04-25,南 北,高楼层/共32层,平层/其他,189平米
70年,24,西湖嘉绿,42958元/平米,莲花港家园,2000年建/板楼,420,3室2厅,103103079658,2018-10-10,南 北,中楼层/共6层,平层/简装,97.77平米
70年,77,拱墅申花,999999元/平米,东方福邸,2013年建/板楼,350,3室2厅,103102576888,2018-07-05,南,高楼层/共24层,平层/精装,61.86平米
70年,0,滨江长河,52660元/平米,白金海岸,2006年建/板楼,495,2室2厅,103105038439,2019-06-15,南,高楼层/共18层,平层/其他,94平米
70年,5,余杭闲林,25295元/平米,绿城桃源小镇,未知年建/暂无数据,328,4室2厅,103104776241,2019-05-19,南,中楼层/共7层,平层/毛坯,129.67平米
50年,3,余杭塘栖,13393元/平米,金世纪运河丽园,2016年建/塔楼,75,1室1厅,103102726941,2018-08-12,南,高楼层/共9层,简装,56平米
70年,15,江干华家池,49398元/平米,南肖埠文景苑,2005年建/板楼,680,3室2厅,103102970441,2018-09-21,南,中楼层/共18层,平层/精装,137.66平米
50年,2,拱墅德胜,19451元/平米,新青年广场,2005年建/塔楼,75,1室0厅,103104773217,2019-05-19,北,中楼层/共26层,平层/简装,38.56平米
70年,12,下城建国北路,41373元/平米,东园大楼,1998年建/板楼,358,3室1厅,103104722075,2019-05-14,南,中楼层/共20层,平层/简装,86.53平米
70年,0,江干丁桥,32640元/平米,联合格里,2010年建/板楼,400,4室1厅,103104160887,2019-03-18,南,高楼层/共16层,平层/其他,122.55平米
70年,4,余杭良渚,25095元/平米,良渚文化村七贤郡,2014年建/板塔结合,218,3室1厅,103104785089,2019-05-20,南,高楼层/共6层,平层/精装,86.87平米
70年,23,余杭临平,15780元/平米,将军殿弄,未知年建/板楼,188,3室2厅,103102994864,2018-09-26,南,高楼层/共21层,平层/简装,119.14㎡
70年,0,下城天水,56412元/平米,屏风苑小区,1990年建/板楼,260,1室1厅,103104959668,2019-06-07,南,高楼层/共6层,平层/简装,46.09平米
40年,7,萧山奥体,28052元/平米,众安嘉润公馆,未知年建/板楼,780,5室2厅,103102692031,2018-08-04,南 北,低楼层/共38层,毛坯,278.06平米
70年,1,余杭星桥,22175元/平米,星运丽园兰逸,2012年建/板楼,270,3室2厅,103104105845,2019-03-12,南,低楼层/共6层,精装,121.76平米
70年,2,西湖文三西路,49995元/平米,府新花园东区,1999年建/板楼,450,3室2厅,103104957389,2019-06-07,南,中楼层/共4层,平层/简装,90.01平米
70年,29,西湖翠苑,39755元/平米,,1993年建/板楼,220,2室1厅,103104363994,2019-04-08,南 北,高楼层/共7层,平层/简装,55.34平米
70年,0,余杭临平,19197元/平米,星育佳园,2005年建/板楼,240,3室2厅,103105008688,2019-06-12,南,高楼层/共6层,平层/精装,125.02平米
40年,2,江干华家池,22774元/平米,同方国际,2000年建/板楼,100,1室0厅,103104171241,2019-03-19,南,高楼层/共28层,平层/精装,43.91平米
70年,2,余杭闲林,45881元/平米,白云深处,未知年建/暂无数据,1200,5室2厅,103103639898,2018-12-25,南 北,独栋/共3层,毛坯,261.55平米
